Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Label_x,Label_y,mean_return,volatility
2/12/2020,2020,2,12,Wednesday,6,2020-06,138.6,139.29,137.8,138.0,7958000,129.96,0.0,127.5942857,128.0494,Green,Green,0.042199999999999994,0.2715275308325106
2/13/2020,2020,2,13,Thursday,6,2020-06,137.75,138.34,136.4,137.88,7447500,129.84,-0.092,127.9121429,128.1858,Green,Green,0.042199999999999994,0.2715275308325106
2/14/2020,2020,2,14,Friday,6,2020-06,137.84,138.19,136.94,137.46,6627600,129.45,-0.3,128.2778571,128.346,Green,Green,0.042199999999999994,0.2715275308325106
2/18/2020,2020,2,18,Tuesday,7,2020-07,137.34,137.71,135.05,135.64,8996400,127.73,-1.329,128.3585714,128.424,Red,Red,-0.29674999999999996,1.2647638448869944
2/19/2020,2020,2,19,Wednesday,7,2020-07,136.91,138.39,136.34,137.49,7071200,129.48,1.37,128.5778571,128.5234,Red,Red,-0.29674999999999996,1.2647638448869944
2/20/2020,2020,2,20,Thursday,7,2020-07,137.17,138.36,136.53,137.49,7422800,129.48,0.0,128.6857143,128.5858,Red,Red,-0.29674999999999996,1.2647638448869944
2/21/2020,2020,2,21,Friday,7,2020-07,136.55,136.92,134.92,135.81,9772800,127.89,-1.228,128.9171429,128.6282,Red,Red,-0.29674999999999996,1.2647638448869944
2/24/2020,2020,2,24,Monday,8,2020-08,131.44,133.2,130.8,132.16,13618400,124.46,-2.682,128.8357143,128.6004,Red,Red,-3.0688000000000004,2.017148779837521
2/25/2020,2020,2,25,Tuesday,8,2020-08,131.0,132.23,125.59,126.26,20797200,118.9,-4.467,128.2285714,128.4674,Red,Red,-3.0688000000000004,2.017148779837521
2/26/2020,2020,2,26,Wednesday,8,2020-08,126.93,128.95,126.34,126.64,24825600,119.26,0.303,127.4921429,128.2696,Red,Red,-3.0688000000000004,2.017148779837521
2/27/2020,2020,2,27,Thursday,8,2020-08,122.91,125.62,121.3,121.37,23005500,114.3,-4.159,126.4,127.9954,Red,Red,-3.0688000000000004,2.017148779837521
2/28/2020,2020,2,28,Friday,8,2020-08,117.52,118.49,112.66,116.11,45931400,109.34,-4.339,124.9828571,127.612,Red,Red,-3.0688000000000004,2.017148779837521
3/2/2020,2020,3,2,Monday,9,2020-09,116.63,121.58,114.46,121.52,27355400,114.44,4.664,123.8921429,127.3148,Red,Red,-1.3388000000000002,4.575919546932616
3/3/2020,2020,3,3,Tuesday,9,2020-09,120.97,122.95,116.24,116.96,32547700,110.14,-3.757,122.4764286,126.9342,Red,Red,-1.3388000000000002,4.575919546932616
3/4/2020,2020,3,4,Wednesday,9,2020-09,118.33,120.19,114.7,119.85,25795900,112.86,2.47,121.255,126.621,Red,Red,-1.3388000000000002,4.575919546932616
3/5/2020,2020,3,5,Thursday,9,2020-09,115.67,116.43,112.58,113.97,25025600,107.33,-4.9,119.6471429,126.1992,Red,Red,-1.3388000000000002,4.575919546932616
