Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-03-16,2017,3,16,Thursday,11,2017-11,92.03,92.81,91.57,91.64,14492000,79.92,-0.000981109704030425,79.93285714285715,76.937
2017-03-17,2017,3,17,Friday,11,2017-11,91.83,92.04,90.65,90.68,21734700,79.08,-0.0104759250767964,79.94857142857143,77.0028
2017-03-20,2017,3,20,Monday,12,2017-12,90.27,91.17,89.79,90.03,14623600,78.51,-0.007167937315473605,79.91142857142857,77.0712
2017-03-21,2017,3,21,Tuesday,12,2017-12,90.36,90.64,87.06,87.39,33089200,76.21,-0.02932351869397276,79.52428571428572,77.0934
2017-03-22,2017,3,22,Wednesday,12,2017-12,86.89,88.07,86.01,87.53,21741000,76.33,0.0016020640327063518,79.23714285714286,77.117
2017-03-23,2017,3,23,Thursday,12,2017-12,87.21,88.5,87.09,87.39,16090100,76.21,-0.0015995015288368108,78.9,77.13380000000001
2017-03-24,2017,3,24,Friday,12,2017-12,87.79,88.09,86.77,87.29,16093200,76.12,-0.0011443600548564081,78.61142857142856,77.1374
2017-03-27,2017,3,27,Monday,13,2017-13,85.53,87.4,85.23,87.24,16689300,76.08,-0.0005727854450958692,78.35142857142857,77.1548
2017-03-28,2017,3,28,Tuesday,13,2017-13,87.02,89.02,86.98,88.6,16264400,77.27,0.015589395059669497,78.18928571428572,77.188
2017-03-29,2017,3,29,Wednesday,13,2017-13,88.6,88.82,88.08,88.27,10207600,76.98,-0.0037248829845828446,77.98357142857142,77.2704
2017-03-30,2017,3,30,Thursday,13,2017-13,88.2,89.46,88.12,89.03,11631000,77.64,0.008610075250939708,77.84357142857142,77.3592
2017-03-31,2017,3,31,Friday,13,2017-13,88.71,88.74,87.75,87.84,16987600,76.6,-0.01336625641542677,77.62428571428572,77.4384
2017-04-03,2017,4,3,Monday,14,2017-14,87.99,88.17,86.6,87.52,19831800,76.32,-0.0036430725150506937,77.37571428571428,77.5054
2017-04-04,2017,4,4,Tuesday,14,2017-14,86.89,87.67,86.72,87.31,14280800,76.58,0.0033324176856746046,77.13214285714285,77.577
2017-04-05,2017,4,5,Wednesday,14,2017-14,88.42,88.54,86.13,86.19,17635500,75.6,-0.01282789945587337,76.82357142857143,77.61139999999999
2017-04-06,2017,4,6,Thursday,14,2017-14,85.98,86.91,85.25,86.48,14379600,75.85,0.0033647109950527554,76.59285714285714,77.628
